,text,task_1,task_2
183,"""@M_Rad: &#8220;@DezDLT: ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http://t.co/tYCIhD6PkW&#8221; yes lmfao""@soccerboy_04",NONE,NONE
184,"""@MadFlyentist: Oregon chokes every year get off the field trash ass program"" RFT",HOF,OFFN
185,"""@MannyDiesel: Def not cowboy lol RT @ArtofFloyd: Terrell Owens was the best Eagle &amp; Cowboy ever"" ..dude cried like a bitch on tv, over Romo",HOF,OFFN
186,"""@MarkRoundtreeJr: LMFAOOOO I HATE BLACK PEOPLE https://t.co/RNvD2nLCDR"" This is why there's black people and niggers",HOF,HATE
187,"""@Master11_: @20ToLife_ @GabrielaStarr How could u do this to me bitch"" potent",HOF,OFFN
188,"""@MaxMayo77: http://t.co/3Jk4kR44X3"" a pissed lad past out. I would lick his dirty soles while he slept.",NONE,NONE
189,"""@MaxMayo77: http://t.co/PrrskknqRv"" love frat boy w/ soft long soles",NONE,NONE
190,"""@MaxMayo77: http://t.co/XpSC3makgJ"" sexy lad with hot soles and arches.",NONE,NONE
191,"""@MegamindNick: @white_thunduh nah fam I gotta cheat with the hoes"" depends on the female i feel",HOF,OFFN
192,"""@Mesha_nojas: @_Vontethekidd &#128079;&#128079;&#128079;&#128079;&#128588;"" I got hicks lol",NONE,NONE
193,"""@Migsmichelen: This new twitter is confusing the shit out of me."" Go back to south america bitch",HOF,OFFN
194,"""@Miikito_x3: Toto means ass or vagina?""I think pussy cause toto santi is like nasty pussy",HOF,OFFN
195,"""@MikelaHenry: but what if he actually does choose the ugly bitch over you? &#58381;""Her ass must be fat!",HOF,OFFN
196,"""@MileyCyrus: bitch couldn't kill my vibe if ya tried. &#127752;&#127752;&#127752;"" dis why i love miley :*",HOF,OFFN
197,"""@Montrell_: I'm tired of bitches saying I look mean.. &#128530;"" nigga you big af, wear tight shirts, and grim everybody.",HOF,OFFN
198,"""@MotherJones: 10 birds your grandkids may never see, thanks to climate change http://t.co/XqmXHkAsWt http://t.co/RbITeGRnhm"" #Climate",NONE,NONE
199,"""@MvckFadden: ""Stay beautiful you bitch""""",HOF,OFFN
200,"""@NICKIMINAJ: #WutKinda

r purple. Ceeeleee""man this gurl was jus playin on the ""stupid hoe "" track. But in still shitted on sum gurls",HOF,OFFN
201,"""@NastyCopper: Money getting taller and bitches getting blurry""",HOF,OFFN
202,"""@NewsomeJade: I ain't never seen a bitch so obsessed with they nigga&#128514;"" I'm obsessed with mine &#128529;",HOF,OFFN
203,"""@Nicholas_ted33: Kobe stay talking trash. But let's not forget http://t.co/VH4tnEkvTP"" @J_Austin12 I meant to do this one. Smh.",HOF,OFFN
204,"""@NoChillPaz: ""At least I'm not a nigger"" http://t.co/RGJa7CfoiT""

Lmfao",HOF,HATE
205,"""@No_FAKINGG: People always asking me what I'm mixed with."" She a bad asian bitch lol",HOF,OFFN
206,"""@NotoriousBM95: @_WhitePonyJr_ Ariza is a snake and a coward"" but at least he isn't a cripple like your hero Roach lmaoo",HOF,HATE
207,"""@OSAY_it_aint_so: &#8220;@IgnoreAllLaws: Fosters home for imaginary trash&#8221; WHOA CHILL""

that show was everything tf",NONE,NONE
208,"""@OfficialReplay: I am lowkey tired."" ...if you tired, be quiet and go to sleep hoe!",HOF,OFFN
209,"""@PRAYINGFORHEAD: &#8220;@macklemroe: Stop bringing weird niggers into my mentions! @PRAYINGFORHEAD&#8221; http://t.co/cussDJesRK""",HOF,OFFN
210,"""@PRETTyBOSs_BRAt: We don't love these hoes &#128080;&#128581;""",HOF,OFFN
211,"""@PatrickQuelo: If yo girl cant have homeboys you a ol weak bitch ass nigga!""",HOF,OFFN
212,"""@Patsfanjoe32: @d_palomino52 I think worst advice I gave you was "" don't be a pussy and speed up"" lol""",HOF,OFFN
213,"""@PoemsPorn: Quote this tweet with your favorite animal.""pussy",HOF,OFFN
214,"""@Poetic_Success: I hate when strippers tell you they're ""dancers"". Hoe, ballet dancers don't pop their pussy to Beethoven. You a STRIPPER!""",HOF,OFFN
215,"""@Poffalicious: Andrewbryant: Poff has double vision after 2 beers
Poff: ... Double pussy &#128526;"" smh",HOF,OFFN
216,"""@Poobie_: When bitches TWERK on the computer....

ME: ""In ya &#128089;, in ya damn &#128089;&#8252;&#65039;""""",HOF,OFFN
217,"""@ProdsJewel_: &#8220;@sreadthepeace: &#8220;@yungmindless: @PeacePunkPrince Prince, THIS is art. http://t.co/EPHRWxMBHr&#8221; nobody takin his bitch!",HOF,OFFN
218,"""@QUAN1T0: 61% of welfare/government aid is claimed by white people. So y'all black slander is trash now.""",NONE,NONE
219,"""@QUAN1T0: These bitches don't care they just play that role.""",HOF,OFFN
220,"""@Queen_Kaaat: It took a while for you to find me, but I was hiding In the lime tree.""
@Iemonaids dis bitch in da wrong tree bro.",HOF,OFFN
221,"""@RTNBA: Drakes new shoes that will be released by Nike/Jordan.... Yes, there's glitter on the shoes http://t.co/QCtPLxHEXM"" ....dudes a fag",HOF,HATE
222,"""@RachieSoul: @DizzleOfficial inna di ghetto!!!"" You alone lmaoo",NONE,NONE
223,"""@RamBoutIt: &#8220;@Master11_: @20ToLife_ @RamBoutIt hoes Austin&#8221; teach us Austin.""I teach u how to get curved? That's all I know",NONE,NONE
224,"""@ReachtheeCLIMAX: bitches can't cook but know how to suck dick .."" s/o to the ones that can do both!",HOF,OFFN
225,"""@RenegadeMo: Fat hoes get chose"" lol",HOF,OFFN
226,"""@RiahSM: #hoesaintloyal"" well they're hoes,no one expects them to be loyal",HOF,OFFN
227,"""@RishaaWilliams: @TRESHON_SCROOGE @_Nevertrustt ol bitch ass"" http://t.co/AmcOinY0wG",HOF,OFFN
228,"""@RnadJorell: Bruh im tired of niggas retweetin Miley Cyrus naked that bitch aint no types of bad"" lmaooo",HOF,OFFN
229,"""@SacTownProdigy: Just because tony romo at the mavs game dont mean he still not a bitch lmao.. Fuk them cowgirls"" lol bitch fuck you",HOF,OFFN
230,"""@SamJLayman : Holy shit, Freddie Highmore was in Charlie and the Chocolate Factory""
Me: *rolls on the floor, laughing*",HOF,OFFN
231,"""@Samirahusic_: ""I don't want to have sex with my gf because I feel like I'm using her.."" - anonymous"" Whata faggot",HOF,OFFN
232,"""@SexualGxfs: @ One of your followers with this &#128525;&#128553; http://t.co/F1TJl9xnCT"" @ somebody, bitch if you don't",HOF,OFFN
233,"""@Shaa_Jenkins: If ya bitch always bitching clearly she care!"" Or just an annoying Bitch!",HOF,OFFN
234,"""@ShanTaughtHer: These catfish hoes thinkin they slick.. But niggas catching on &#128524;""",HOF,OFFN
235,"""@SheWentToJordan: Can't worry about a bitch that ain't worried bout me"" #real",HOF,OFFN
236,"""@ShowArrive: Side hoes are for insecure niggas that can't handle a real one.""",HOF,OFFN
237,"""@Shun_stokes: &#128514;&#128514;&#128514;&#128514;RT @bluprint_4: Lmao! This bitch come scooting in the tent like she about to fuck some shit up!"" &#128557;&#128557;&#128557;",HOF,OFFN
238,"""@Shun_stokes: My cousin said he share hoes with his brothers. He said sharing is caring and he love his brothers &#128514;""",HOF,OFFN
239,"""@SlimGirl_Probz: i'm hungry but ionn wanna spend my money on food&#128530;""Broke hoe problems &#128514;&#128514;&#128514;&#128128;",HOF,OFFN
240,"""@SmeegBaby: Dese hoes be LYIN to all of us nigga""",HOF,OFFN
241,"""@SnakecharmsDump: http://t.co/4b427dQZCV"" oh yeah fuck that bitch",HOF,OFFN
242,"""@SportsCenter: Eli Manning just threw his NFL-leading 27th interception of the season."" Lmao trash",NONE,NONE
